Year,Month,Quarter,PoliceStation,CrimeCount
2014,7,2014 Q3,Riverton,8
2014,7,2014 Q3,Rolleston,25
2014,7,2014 Q3,Ross,1
2014,7,2014 Q3,Rotorua,161
2014,7,2014 Q3,Roxburgh,2
2014,7,2014 Q3,Ruakaka,16
2014,7,2014 Q3,Ruatoria,5
2014,7,2014 Q3,Ruawai,16
2014,7,2014 Q3,Russell,4
2014,7,2014 Q3,Shannon,4
2014,7,2014 Q3,St Andrews,4
2014,7,2014 Q3,Stratford,25
2014,7,2014 Q3,Taihape,8
2014,7,2014 Q3,Tairua,3
2014,7,2014 Q3,Takaka,8
2014,7,2014 Q3,Takapuna,42
2014,7,2014 Q3,Taneatua,11
2014,7,2014 Q3,Tapanui,6
2014,7,2014 Q3,Taradale,22
2014,7,2014 Q3,Taumarunui,28
2014,7,2014 Q3,Taupo,67
2014,7,2014 Q3,Tauranga,93
2014,7,2014 Q3,Tauranga South,70
2014,7,2014 Q3,Te Anau,4
2014,7,2014 Q3,Te Araroa,4
2014,7,2014 Q3,Te Aroha,23
2014,7,2014 Q3,Te Awamutu,60
2014,7,2014 Q3,Te Kaha,4
2014,7,2014 Q3,Te Karaka,5
2014,7,2014 Q3,Te Kauwhata,8
2014,7,2014 Q3,Te Kuiti,18
2014,7,2014 Q3,Te Puke,37
2014,7,2014 Q3,Temuka,12
2014,7,2014 Q3,Thames,29
2014,7,2014 Q3,Timaru,64
2014,7,2014 Q3,Tokomaru Bay,2
2014,7,2014 Q3,Tokoroa,52
2014,7,2014 Q3,Tolaga Bay,1
2014,7,2014 Q3,Tuakau,62
2014,7,2014 Q3,Tuatapere,4
2014,7,2014 Q3,Turangi,9
2014,7,2014 Q3,Twizel,3
2014,7,2014 Q3,Upper Hutt,83
2014,7,2014 Q3,Waiheke Island,13
2014,7,2014 Q3,Waihi,36
2014,7,2014 Q3,Waikari,4
2014,7,2014 Q3,Waikouaiti,3
2014,7,2014 Q3,Waimate,9
2014,7,2014 Q3,Wainuiomata,31
2014,7,2014 Q3,Waiouru,2
2014,7,2014 Q3,Waipawa,9
2014,7,2014 Q3,Waipu,4
2014,7,2014 Q3,Waipukurau,15
2014,7,2014 Q3,Wairoa,31
2014,7,2014 Q3,Waitangirua,113
2014,7,2014 Q3,Waitara,21
2014,7,2014 Q3,Wakefield,2
2014,7,2014 Q3,Wanaka,20
2014,7,2014 Q3,Warkworth,23
2014,7,2014 Q3,Waverley,6
2014,7,2014 Q3,Wellington Central,158
2014,7,2014 Q3,Wellsford,26
