Police_station,address
Otaki Police Station,"
            1 Iti St,Otaki"
Otautau Police Station,"
            154 Main St,Otautau"
Otorohanga Police Station,"
            8 Ballance St,Otorohanga"
Owaka Police Station,"
            25 Stuart St,Owaka"
Oxford Police Station,"
            27 Main St,Oxford"
Paeroa Police Station,"
            6 Willoughby St,Paeroa"
Pahiatua Police Station,"
            15 Main St,Pahiatua"
Paihia Police Station,"
            47 Williams Rd,Paihia"
Palmerston North Central Police Station,"
            410 Church St,Palmerston North"
Palmerston Police Station,"
            119 Ronaldsay St,Palmerston,Otago"
Papakura Central Police Station,"
            58 Wood St,Papakura"
Papamoa Police Station,"
            530 Papamoa Beach Rd,Papamoa"
Papanui Police Station,"
            36 Main North Rd,Papanui,Christchurch"
Patea Police Station,"
            27 Victoria St,Patea"
Photography,"
            Harlech House  482 Gt. South Road, Otahuhu,Otahuhu"
Picton Police Station,"
            36 Broadway,Picton"
Pio Pio Police Station,"
            17 Tui Street,Pio Pio"
Pleasant Point Police Station,"
            129 Main Rd,Pleasant Point"
Pokeno Highway Patrol,"
            11 Pokeno Road,Pokeno,South Auckland"
Police Infringement Bureau,"
            180 Molesworth St,Thorndon,Wellington"
Police Sport,"
            c/- The Royal NZ Police College, Papakowhai RoadPolice Station,PORIRUA"
Pongaroa Police Station,"
            Route 52,Pongaroa"
Ponsonby Police Station,"
            12 Jervois Rd,Ponsonby"
Porangahau Police Station,"
            5 Abercromby St,Porangahau"
Porirua Central Police Station,"
            2 Hagley St,Porirua"
Port Chalmers Police Station,"
            35 George St,Port Chalmers"
Portobello Police Station,"
            1710 Highcliff Rd,Portobello"
Puawaitahi Multi Agency Service (Auckland City Child Protection Team),"
            99 Grafton Rd, Auckland,Auckland"
Pukekohe Police Station,"
            37 Manukau Rd,Pukekohe"
Putaruru Police Station,"
            41-45 Kensington St,Putaruru"
Queenstown Police Station,"
            11 Camp St,Queenstown"
Raetihi Police Station,"
            4 Seddon St,Raetihi"
Raglan Police Station,"
            3 Wi Neera St,Raglan"
Rakaia Police Station,"
            149 Michael St,Rakaia"
Ranfurly Police Station,"
            2 Thomas St,Ranfurly"
